"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
"61",90,0,10,0,0,0,20,0,0,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,130,0,0,0,0,0,0,30,0,30,0,0,0,10,60,80,0,40,0,0,0,0,0,70
"62",60,30,40,0,0,60,250,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,90,0,0,0,10,0,20,0,270,60,0,10,10,90,0,30,20,10,0,0,0,0,0,10
"63",160,0,170,10,50,320,540,0,20,40,0,20,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,20,10,0,0,0,10,10,690,0,0,0,0,0,30,70,0,50,0,0,10,190,130,0,110,0,0,0,0,0,0,0
"64",190,0,110,0,20,10,70,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,50,20,10,0,0,0,20,120,270,0,0,10,20,90,0,0,20,30,0,0,0,0,0,20
"65",10,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,10,0,130,20,0,10,10,0,0,0,0,0,280
"66",10,0,40,0,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0,0,10,0,0,0,0,130,90,20,0,50,20,0,0,0,0,0,380
"67",10,0,90,0,0,40,50,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,40,0,10,0,0,0,0,0,0,0,360,0,0,0,10,0,0,30,20,0,10,130,0,130,20,10,10,20,0,0,0,0,0,30
"68",300,30,1200,50,70,240,980,10,40,40,20,120,210,170,0,50,10,70,0,20,20,110,150,90,30,170,20,60,50,0,0,0,0,20,0,0,70,10,90,0,10,750,70,50,210,120,40,80,140,10,20,10,20,130,6370,30,110,0,120,80,10,40,250,110,80,140,220,0,350,190,120,50,20,0,30,20,60,420
"69",130,90,130,0,70,20,220,0,0,0,10,10,10,0,20,10,20,40,0,0,0,50,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,60,0,20,170,10,0,10,0,10,20,50,30,0,0,50,40,1110,30,0,20,0,0,10,30,50,0,30,20,40,320,0,130,160,50,0,0,10,10,0,170
"70",20,10,60,0,10,10,220,0,10,0,0,0,20,10,0,0,70,0,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,50,0,0,0,20,30,20,40,10,0,50,0,10,560,0,10,10,10,0,0,20,0,0,10,30,10,330,260,0,100,10,0,0,0,0,0,60
"71",80,20,30,0,10,40,40,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,40,0,0,0,0,30,0,50,60,0,0,10,20,400,0,0,20,10,80,0,0,0,0,10,10,0,190,120,110,0,20,0,0,0,0,0,10
"72",10,0,20,0,0,110,30,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,20,20,0,0,0,0,80,0,0,0,10,30,70,40,10,10,0,10,10,70,20,80,30,0,0,0,0,0,0,0
"73",0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,40,0,0,30
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,20,0,50,0,0,0,0,20
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,10,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,20,10,0,0,0,0,0,0,0,0,10
"78",50,0,180,0,0,0,110,0,20,0,0,20,10,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,40,0,0,30,10,0,10,0,0,10,0,0,10,410,0,10,40,130,20,0,10,0,0,110,240,0,410,30,10,40,0,20,0,10,0,0,0
